"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2005","7.2","",
"04","Arizona","04001","Apache","2006","4.8","",
"04","Arizona","04001","Apache","2007","3.6","",
"04","Arizona","04001","Apache","2008","5.1","",
"04","Arizona","04001","Apache","2009","5.6","",
"04","Arizona","04001","Apache","2010","4.5","",
"04","Arizona","04001","Apache","2011","6.0","",
"04","Arizona","04001","Apache","2012","4.8","",
"04","Arizona","04001","Apache","2013","2.1","",
"04","Arizona","04001","Apache","2014","2.3","",
"04","Arizona","04001","Apache","2015","2.5","",
"04","Arizona","04001","Apache","2016","1.8","",
"04","Arizona","04001","Apache","2017","1.4","Unstable",
"04","Arizona","04001","Apache","2018","2.3","",
"04","Arizona","04001","Apache","2019","1.8","",
"04","Arizona","04001","Apache","2020","1.9","",
"04","Arizona","04001","Apache","2021","1.7","Unstable",
"04","Arizona","04003","Cochise","2005","12.2","",
"04","Arizona","04003","Cochise","2006","11.2","",
"04","Arizona","04003","Cochise","2007","9.2","",
"04","Arizona","04003","Cochise","2008","8.5","",
"04","Arizona","04003","Cochise","2009","11.5","",
"04","Arizona","04003","Cochise","2010","9.9","",
"04","Arizona","04003","Cochise","2011","8.1","",
"04","Arizona","04003","Cochise","2012","9.7","",
"04","Arizona","04003","Cochise","2013","9.1","",
"04","Arizona","04003","Cochise","2014","7.0","",
"04","Arizona","04003","Cochise","2015","6.1","",
"04","Arizona","04003","Cochise","2016","6.9","",
"04","Arizona","04003","Cochise","2017","4.6","",
"04","Arizona","04003","Cochise","2018","6.1","",
"04","Arizona","04003","Cochise","2019","4.7","",
"04","Arizona","04003","Cochise","2020","2.0","",
"04","Arizona","04003","Cochise","2021","3.4","",
"04","Arizona","04005","Coconino","2005","8.7","",
"04","Arizona","04005","Coconino","2006","8.5","",
"04","Arizona","04005","Coconino","2007","9.0","",
"04","Arizona","04005","Coconino","2008","7.5","",
"04","Arizona","04005","Coconino","2009","7.8","",
"04","Arizona","04005","Coconino","2010","7.4","",
"04","Arizona","04005","Coconino","2011","6.4","",
"04","Arizona","04005","Coconino","2012","7.2","",
"04","Arizona","04005","Coconino","2013","6.7","",
"04","Arizona","04005","Coconino","2014","6.3","",
"04","Arizona","04005","Coconino","2015","4.6","",
"04","Arizona","04005","Coconino","2016","1.8","",
"04","Arizona","04005","Coconino","2017","1.5","",
"04","Arizona","04005","Coconino","2018","2.6","",
"04","Arizona","04005","Coconino","2019","2.1","",
"04","Arizona","04005","Coconino","2020","1.7","",
"04","Arizona","04005","Coconino","2021","2.0","",
"04","Arizona","04007","Gila","2005","12.9","",
"04","Arizona","04007","Gila","2006","7.4","",
"04","Arizona","04007","Gila","2007","10.2","",
"04","Arizona","04007","Gila","2008","10.6","",
"04","Arizona","04007","Gila","2009","11.2","",
"04","Arizona","04007","Gila","2010","8.0","",
"04","Arizona","04007","Gila","2011","11.0","",
"04","Arizona","04007","Gila","2012","10.0","",
"04","Arizona","04007","Gila","2013","7.5","",
"04","Arizona","04007","Gila","2014","7.8","",
"04","Arizona","04007","Gila","2015","9.9","",
"04","Arizona","04007","Gila","2016","5.8","",
"04","Arizona","04007","Gila","2017","5.4","",
"04","Arizona","04007","Gila","2018","3.2","",
"04","Arizona","04007","Gila","2019","4.5","",
"04","Arizona","04007","Gila","2020","4.1","",
"04","Arizona","04007","Gila","2021","3.0","",
"04","Arizona","04009","Graham","2005","10.7","",
"04","Arizona","04009","Graham","2006","14.0","",
"04","Arizona","04009","Graham","2007","11.9","",
"04","Arizona","04009","Graham","2008","15.2","",
"04","Arizona","04009","Graham","2009","18.6","",
"04","Arizona","04009","Graham","2010","13.9","",
"04","Arizona","04009","Graham","2011","10.4","",
"04","Arizona","04009","Graham","2012","8.8","",
"04","Arizona","04009","Graham","2013","7.4","",
"04","Arizona","04009","Graham","2014","5.7","",
"04","Arizona","04009","Graham","2015","4.8","",
"04","Arizona","04009","Graham","2016","2.4","Unstable",
"04","Arizona","04009","Graham","2017","3.1","",
"04","Arizona","04009","Graham","2018","Suppressed","Unstable",
"04","Arizona","04009","Graham","2019","2.1","Unstable",
"04","Arizona","04009","Graham","2020","0.0","",
"04","Arizona","04009","Graham","2021","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2005","8.9","Unstable",
"04","Arizona","04011","Greenlee","2006","18.0","",
"04","Arizona","04011","Greenlee","2007","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2008","8.4","Unstable",
"04","Arizona","04011","Greenlee","2009","13.0","Unstable",
"04","Arizona","04011","Greenlee","2010","8.3","Unstable",
"04","Arizona","04011","Greenlee","2011","11.3","Unstable",
"04","Arizona","04011","Greenlee","2012","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2013","6.9","Unstable",
"04","Arizona","04011","Greenlee","2014","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2015","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2016","0.0","",
"04","Arizona","04011","Greenlee","2017","0.0","",
"04","Arizona","04011","Greenlee","2018","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2019","0.0","",
"04","Arizona","04011","Greenlee","2020","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2021","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2005","10.5","",
"04","Arizona","04012","La Paz","2006","7.7","",
"04","Arizona","04012","La Paz","2007","16.5","",
"04","Arizona","04012","La Paz","2008","9.6","",
"04","Arizona","04012","La Paz","2009","7.4","",
"04","Arizona","04012","La Paz","2010","6.3","Unstable",
"04","Arizona","04012","La Paz","2011","4.5","",
"04","Arizona","04012","La Paz","2012","7.7","Unstable",
"04","Arizona","04012","La Paz","2013","3.6","Unstable",
"04","Arizona","04012","La Paz","2014","5.6","Unstable",
"04","Arizona","04012","La Paz","2015","3.5","Unstable",
"04","Arizona","04012","La Paz","2016","4.2","Unstable",
"04","Arizona","04012","La Paz","2017","4.1","Unstable",
"04","Arizona","04012","La Paz","2018","3.5","Unstable",
"04","Arizona","04012","La Paz","2019","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2020","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2021","Suppressed","Unstable",
"04","Arizona","04013","Maricopa","2005","12.3","",
"04","Arizona","04013","Maricopa","2006","11.2","",
"04","Arizona","04013","Maricopa","2007","11.3","",
"04","Arizona","04013","Maricopa","2008","12.7","",
"04","Arizona","04013","Maricopa","2009","14.2","",
"04","Arizona","04013","Maricopa","2010","13.8","",
"04","Arizona","04013","Maricopa","2011","12.4","",
"04","Arizona","04013","Maricopa","2012","11.4","",
"04","Arizona","04013","Maricopa","2013","9.0","",
"04","Arizona","04013","Maricopa","2014","8.2","",
"04","Arizona","04013","Maricopa","2015","7.1","",
"04","Arizona","04013","Maricopa","2016","5.2","",
"04","Arizona","04013","Maricopa","2017","5.1","",
"04","Arizona","04013","Maricopa","2018","4.9","",
"04","Arizona","04013","Maricopa","2019","4.2","",
"04","Arizona","04013","Maricopa","2020","2.6","",
"04","Arizona","04013","Maricopa","2021","2.6","",
"04","Arizona","04015","Mohave","2005","13.6","",
"04","Arizona","04015","Mohave","2006","12.8","",
"04","Arizona","04015","Mohave","2007","11.3","",
"04","Arizona","04015","Mohave","2008","12.4","",
"04","Arizona","04015","Mohave","2009","13.8","",
"04","Arizona","04015","Mohave","2010","16.2","",
"04","Arizona","04015","Mohave","2011","15.2","",
"04","Arizona","04015","Mohave","2012","13.9","",
"04","Arizona","04015","Mohave","2013","13.0","",
"04","Arizona","04015","Mohave","2014","11.7","",
"04","Arizona","04015","Mohave","2015","8.6","",
"04","Arizona","04015","Mohave","2016","3.7","",
"04","Arizona","04015","Mohave","2017","4.5","",
"04","Arizona","04015","Mohave","2018","3.5","",
"04","Arizona","04015","Mohave","2019","4.3","",
"04","Arizona","04015","Mohave","2020","2.0","",
"04","Arizona","04015","Mohave","2021","1.9","",
"04","Arizona","04017","Navajo","2005","12.9","",
"04","Arizona","04017","Navajo","2006","9.8","",
"04","Arizona","04017","Navajo","2007","9.9","",
"04","Arizona","04017","Navajo","2008","7.5","",
"04","Arizona","04017","Navajo","2009","6.5","",
"04","Arizona","04017","Navajo","2010","9.8","",
