"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2005","31.0","",
"04","Arizona","04001","Apache","2006","21.1","",
"04","Arizona","04001","Apache","2007","21.1","",
"04","Arizona","04001","Apache","2008","20.2","",
"04","Arizona","04001","Apache","2009","44.0","",
"04","Arizona","04001","Apache","2010","45.0","",
"04","Arizona","04001","Apache","2011","57.8","",
"04","Arizona","04001","Apache","2012","37.1","",
"04","Arizona","04001","Apache","2013","41.0","",
"04","Arizona","04001","Apache","2014","37.7","",
"04","Arizona","04001","Apache","2015","32.5","",
"04","Arizona","04001","Apache","2016","29.2","",
"04","Arizona","04001","Apache","2017","29.8","",
"04","Arizona","04001","Apache","2018","25.5","",
"04","Arizona","04001","Apache","2019","30.5","",
"04","Arizona","04001","Apache","2020","31.9","",
"04","Arizona","04001","Apache","2021","27.6","",
"04","Arizona","04003","Cochise","2005","58.4","",
"04","Arizona","04003","Cochise","2006","59.7","",
"04","Arizona","04003","Cochise","2007","51.3","",
"04","Arizona","04003","Cochise","2008","53.5","",
"04","Arizona","04003","Cochise","2009","58.7","",
"04","Arizona","04003","Cochise","2010","51.7","",
"04","Arizona","04003","Cochise","2011","42.3","",
"04","Arizona","04003","Cochise","2012","45.2","",
"04","Arizona","04003","Cochise","2013","45.8","",
"04","Arizona","04003","Cochise","2014","44.3","",
"04","Arizona","04003","Cochise","2015","35.7","",
"04","Arizona","04003","Cochise","2016","42.2","",
"04","Arizona","04003","Cochise","2017","38.5","",
"04","Arizona","04003","Cochise","2018","49.9","",
"04","Arizona","04003","Cochise","2019","38.8","",
"04","Arizona","04003","Cochise","2020","25.0","",
"04","Arizona","04003","Cochise","2021","34.6","",
"04","Arizona","04005","Coconino","2005","28.8","",
"04","Arizona","04005","Coconino","2006","26.3","",
"04","Arizona","04005","Coconino","2007","20.8","",
"04","Arizona","04005","Coconino","2008","24.5","",
"04","Arizona","04005","Coconino","2009","24.7","",
"04","Arizona","04005","Coconino","2010","30.8","",
"04","Arizona","04005","Coconino","2011","28.3","",
"04","Arizona","04005","Coconino","2012","23.9","",
"04","Arizona","04005","Coconino","2013","22.2","",
"04","Arizona","04005","Coconino","2014","21.9","",
"04","Arizona","04005","Coconino","2015","21.9","",
"04","Arizona","04005","Coconino","2016","23.4","",
"04","Arizona","04005","Coconino","2017","22.5","",
"04","Arizona","04005","Coconino","2018","24.2","",
"04","Arizona","04005","Coconino","2019","19.7","",
"04","Arizona","04005","Coconino","2020","13.0","",
"04","Arizona","04005","Coconino","2021","11.1","",
"04","Arizona","04007","Gila","2005","58.1","",
"04","Arizona","04007","Gila","2006","53.1","",
"04","Arizona","04007","Gila","2007","60.0","",
"04","Arizona","04007","Gila","2008","44.8","",
"04","Arizona","04007","Gila","2009","50.9","",
"04","Arizona","04007","Gila","2010","60.9","",
"04","Arizona","04007","Gila","2011","70.2","",
"04","Arizona","04007","Gila","2012","59.6","",
"04","Arizona","04007","Gila","2013","53.4","",
"04","Arizona","04007","Gila","2014","53.0","",
"04","Arizona","04007","Gila","2015","54.5","",
"04","Arizona","04007","Gila","2016","63.9","",
"04","Arizona","04007","Gila","2017","56.5","",
"04","Arizona","04007","Gila","2018","57.1","",
"04","Arizona","04007","Gila","2019","46.2","",
"04","Arizona","04007","Gila","2020","42.4","",
"04","Arizona","04007","Gila","2021","44.6","",
"04","Arizona","04009","Graham","2005","51.9","",
"04","Arizona","04009","Graham","2006","67.5","",
"04","Arizona","04009","Graham","2007","51.9","",
"04","Arizona","04009","Graham","2008","62.9","",
"04","Arizona","04009","Graham","2009","59.9","",
"04","Arizona","04009","Graham","2010","57.6","",
"04","Arizona","04009","Graham","2011","55.4","",
"04","Arizona","04009","Graham","2012","64.1","",
"04","Arizona","04009","Graham","2013","45.6","",
"04","Arizona","04009","Graham","2014","60.0","",
"04","Arizona","04009","Graham","2015","60.1","",
"04","Arizona","04009","Graham","2016","50.4","",
"04","Arizona","04009","Graham","2017","44.6","",
"04","Arizona","04009","Graham","2018","42.3","",
"04","Arizona","04009","Graham","2019","31.9","",
"04","Arizona","04009","Graham","2020","23.2","",
"04","Arizona","04009","Graham","2021","30.6","",
"04","Arizona","04011","Greenlee","2005","28.4","",
"04","Arizona","04011","Greenlee","2006","34.8","",
"04","Arizona","04011","Greenlee","2007","15.6","",
"04","Arizona","04011","Greenlee","2008","11.2","Unstable",
"04","Arizona","04011","Greenlee","2009","26.5","",
"04","Arizona","04011","Greenlee","2010","28.2","",
"04","Arizona","04011","Greenlee","2011","21.8","",
"04","Arizona","04011","Greenlee","2012","16.8","",
"04","Arizona","04011","Greenlee","2013","11.2","Unstable",
"04","Arizona","04011","Greenlee","2014","24.7","",
"04","Arizona","04011","Greenlee","2015","21.0","",
"04","Arizona","04011","Greenlee","2016","19.6","",
"04","Arizona","04011","Greenlee","2017","9.3","Unstable",
"04","Arizona","04011","Greenlee","2018","20.1","",
"04","Arizona","04011","Greenlee","2019","14.0","",
"04","Arizona","04011","Greenlee","2020","10.3","Unstable",
"04","Arizona","04011","Greenlee","2021","5.8","Unstable",
"04","Arizona","04012","La Paz","2005","92.8","",
"04","Arizona","04012","La Paz","2006","75.4","",
"04","Arizona","04012","La Paz","2007","59.3","",
"04","Arizona","04012","La Paz","2008","57.1","",
"04","Arizona","04012","La Paz","2009","50.7","",
"04","Arizona","04012","La Paz","2010","82.8","",
